resid,Female,watchnat,ReadNews,pnintst,Education,income,Voted,prop,infopro,WatchProgram,learnpro,TreatmentGroup,prop_dv,InformationLevel,prop_vote,white,partyid,PoliticalInterest
10047620,1,7,1,2,4,2,0,NA,4,0,NA,0,1,1,NA,0,4,2
10047660,1,6,5,3,4,5,1,1,2,0,NA,0,0,3,1,1,2,3
10047680,1,7,1,3,4,NA,1,1,1,0,NA,0,0,4,1,1,2,3
10047780,1,6,4,2,8,6,0,NA,3,0,NA,0,1,2,NA,1,2,2
10047810,1,7,7,2,4,1,1,1,2,0,NA,1,0,3,1,1,2,2
10047880,0,7,7,4,6,4,1,1,1,0,NA,0,0,4,1,1,5,4
10047970,1,6,4,3,11,8,1,1,3,0,NA,1,0,2,1,1,2,3
10048020,1,7,7,4,12,3,1,2,2,0,NA,0,0,3,0,1,7,4
10048030,0,7,6,3,4,1,0,NA,2,0,NA,1,1,3,NA,0,5,3
10048040,1,6,7,4,8,NA,1,1,2,0,NA,0,0,3,1,1,7,4
10048050,0,6,7,4,11,11,1,1,1,1,1,1,0,4,1,1,6,4
10048070,0,6,7,4,11,NA,1,1,1,0,NA,1,0,4,1,1,1,4
10048110,0,7,7,4,11,11,1,1,1,1,3,1,0,4,1,1,3,4
10048140,1,7,7,4,11,10,1,1,2,0,NA,0,0,3,1,1,5,4
10048200,1,6,6,3,4,NA,1,2,1,0,NA,0,0,4,0,0,6,3
10048270,0,4,6,3,12,5,0,NA,1,1,1,1,1,4,NA,0,4,3
10048290,0,7,4,2,4,7,1,1,2,1,1,1,0,3,1,1,2,2
10048340,0,7,7,4,10,4,1,1,2,0,NA,0,0,3,1,1,2,4
10048420,0,6,7,4,12,9,1,1,1,0,NA,0,0,4,1,1,5,4
10048430,NA,6,6,2,11,4,1,1,2,1,2,1,0,3,1,0,3,2
10048550,1,5,7,4,11,9,1,1,1,1,3,1,0,4,1,1,7,4
10048690,0,7,7,4,8,6,1,1,2,1,1,1,0,3,1,1,1,4
10048720,1,7,7,3,11,6,1,1,2,0,NA,0,0,3,1,1,7,3
10048740,0,7,7,4,11,4,1,1,1,0,NA,0,0,4,1,1,1,4
10048770,0,7,5,3,11,4,0,NA,1,0,NA,1,1,4,NA,1,6,3
10048870,1,4,6,4,4,7,1,1,1,1,2,1,0,4,1,0,7,4
10048880,0,6,5,3,4,4,0,NA,-2,0,NA,0,1,NA,NA,0,NA,3
10048920,1,7,5,3,11,4,1,1,2,0,NA,0,0,3,1,0,6,3
10048940,1,7,6,3,11,6,0,NA,2,0,NA,0,1,3,NA,0,6,3
10048950,1,7,7,4,11,11,1,1,1,1,3,1,0,4,1,1,4,4
10049000,1,7,6,4,11,6,1,1,1,0,NA,0,0,4,1,1,2,4
10049030,1,7,3,4,4,3,1,1,1,0,NA,1,0,4,1,1,1,4
10049040,1,6,7,4,12,11,1,1,1,0,NA,0,0,4,1,0,7,4
10049050,0,7,7,3,13,8,1,1,1,0,NA,1,0,4,1,0,5,3
10049060,1,7,7,3,7,NA,1,2,1,0,NA,0,0,4,0,1,1,3
10049360,0,5,1,2,11,NA,1,1,2,1,-2,0,0,3,1,1,4,2
10049400,1,6,6,4,8,8,1,2,1,0,NA,0,0,4,0,1,1,4
10049440,0,7,7,4,9,6,1,1,1,0,NA,0,0,4,1,1,1,4
10049460,0,7,7,4,12,6,1,1,1,0,NA,0,0,4,1,0,1,4
10049470,0,4,7,4,4,6,0,NA,2,1,4,1,1,3,NA,1,1,4
10049520,1,7,7,3,4,3,0,NA,3,0,NA,0,1,2,NA,1,6,3
10049540,NA,6,7,3,8,6,1,1,2,0,NA,0,0,3,1,1,2,3
10049560,0,3,7,4,12,9,1,1,2,0,NA,0,0,3,1,1,3,4
10049650,1,6,7,3,11,10,1,1,2,0,NA,1,0,3,1,0,1,3
10049720,0,7,7,4,11,11,1,1,1,0,NA,0,0,4,1,0,7,4
10049780,0,7,7,4,11,10,1,1,1,0,NA,0,0,4,1,1,1,4
