DistNumber,Year,CycleSwitch,AfterSwitch,AvgSalary
4808940,2007,0,1,45899.87367
4808940,2008,0,1,44243.00439
4808940,2009,0,1,46926.51373
4809000,2003,0,0,46947.41786
4809000,2004,0,0,44155.62384
4809000,2005,0,0,43454.39174
4809000,2006,0,0,45308.65691
4809000,2007,0,1,44124.17881
4809000,2008,0,1,42973.00176
4809000,2009,0,1,43183.92055
4809030,2003,1,0,42327.10684
4809030,2004,1,0,41713.74811
4809030,2005,1,0,39591.1895
4809030,2006,1,0,42185.85925
4809030,2007,1,1,40632.47112
4809030,2008,1,1,38377.01257
4809030,2009,1,1,43107.264
4809060,2003,0,0,40493.71183
4809060,2004,0,0,39078.06434
4809060,2005,0,0,38806.88057
4809060,2006,0,0,40616.00565
4809060,2007,0,1,40157.63317
4809060,2008,0,1,37851.99844
4809060,2009,0,1,40201.62255
4809090,2003,0,0,42114.14715
4809090,2004,0,0,40963.61569
4809090,2005,0,0,39870.59164
4809090,2006,0,0,41447.07473
4809090,2007,0,1,40538.72658
4809090,2008,0,1,38535.99838
4809090,2009,0,1,39791.61897
4809150,2003,1,0,40828.31984
4809150,2004,1,0,42081.94859
4809150,2005,1,0,42627.199
4809150,2006,1,0,44813.60552
4809150,2007,1,1,44567.04935
4809150,2008,1,1,43090.00114
4809150,2009,1,1,44025.69522
4809200,2003,0,0,47379.16268
4809200,2004,0,0,45975.05054
4809200,2005,0,0,45116.47999
4809200,2006,0,0,48210.90186
4809200,2007,0,1,46844.41983
4809200,2008,0,1,46987.99931
4809200,2009,0,1,49393.74326
4809280,2003,0,0,41738.57905
4809280,2004,0,0,37629.13533
4809280,2005,0,0,37320.81738
4809280,2006,0,0,38491.77582
4809280,2007,0,1,39714.73431
4809280,2008,0,1,38117.99986
4809280,2009,0,1,39920.89049
4809300,2003,0,0,43676.08631
4809300,2004,0,0,40992.10466
4809300,2005,0,0,41667.98492
4809300,2006,0,0,43221.49615
4809300,2007,0,1,41966.32554
4809300,2008,0,1,41066.99722
4809300,2009,0,1,42040.71262
4809330,2003,0,0,40216.42423
4809330,2004,0,0,38411.17479
4809330,2005,0,0,35672.9909
4809330,2006,0,0,39639.77492
4809330,2007,0,1,39845.54199
4809330,2008,0,1,39280.99053
4809330,2009,0,1,39812.0024
4809360,2003,0,0,42284.98542
4809360,2004,0,0,42621.18286
4809360,2005,0,0,42664.61568
4809360,2006,0,0,44316.48189
4809360,2007,0,1,45477.57527
4809360,2008,0,1,48008.01746
4809360,2009,0,1,48895.72739
4809390,2003,0,0,41139.55481
4809390,2004,0,0,40460.8614
4809390,2005,0,0,39580.20371
4809390,2006,0,0,40689.16335
4809390,2007,0,1,40174.10439
4809390,2008,0,1,39607.99497
4809390,2009,0,1,40677.32978
4809410,2003,1,0,46881.91659
4809410,2004,1,0,46622.55812
4809410,2005,1,0,45435.48172
4809410,2006,1,0,47263.27139
4809410,2007,1,1,45358.11579
4809410,2008,1,1,44576.99603
4809410,2009,1,1,45569.61437
4809450,2003,0,0,52022.87976
4809450,2004,0,0,51264.66898
4809450,2005,0,0,51019.0989
4809450,2006,0,0,51481.02159
4809450,2007,0,1,53054.25149
4809450,2008,0,1,53328.02462
4809450,2009,0,1,55305.5502
4809540,2003,0,0,38808.91613
4809540,2004,0,0,36959.92768
4809540,2005,0,0,34993.18981
4809540,2006,0,0,37746.59352
4809540,2007,0,1,38267.59094
4809540,2008,0,1,36582.00826
4809540,2009,0,1,38157.89905
4809570,2003,0,0,47038.66332
4809570,2004,0,0,46779.9099
4809570,2005,0,0,46255.01824
4809570,2006,0,0,47635.32466
4809570,2007,0,1,46760.9533
4809570,2008,0,1,46002.98844
4809570,2009,0,1,47047.50148
4809630,2003,0,0,45656.91924
4809630,2004,0,0,45621.66398
4809630,2005,0,0,43619.39208
4809630,2006,0,0,44833.7822
4809630,2007,0,1,43324.87375
4809630,2008,0,1,43346.98443
